Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
China,CHN,2017,"Population, total",SP.POP.TOTL,1386395000
China,CHN,2016,"Population, total",SP.POP.TOTL,1378665000
China,CHN,2015,"Population, total",SP.POP.TOTL,1371220000
China,CHN,2014,"Population, total",SP.POP.TOTL,1364270000
China,CHN,2013,"Population, total",SP.POP.TOTL,1357380000
China,CHN,2012,"Population, total",SP.POP.TOTL,1350695000
China,CHN,2011,"Population, total",SP.POP.TOTL,1344130000
China,CHN,2010,"Population, total",SP.POP.TOTL,1337705000
China,CHN,2009,"Population, total",SP.POP.TOTL,1331260000
China,CHN,2008,"Population, total",SP.POP.TOTL,1324655000
China,CHN,2007,"Population, total",SP.POP.TOTL,1317885000
China,CHN,2006,"Population, total",SP.POP.TOTL,1311020000
China,CHN,2005,"Population, total",SP.POP.TOTL,1303720000
China,CHN,2004,"Population, total",SP.POP.TOTL,1296075000
China,CHN,2003,"Population, total",SP.POP.TOTL,1288400000
China,CHN,2002,"Population, total",SP.POP.TOTL,1280400000
China,CHN,2001,"Population, total",SP.POP.TOTL,1271850000
China,CHN,2000,"Population, total",SP.POP.TOTL,1262645000
China,CHN,1999,"Population, total",SP.POP.TOTL,1252735000
China,CHN,1998,"Population, total",SP.POP.TOTL,1241935000
China,CHN,1997,"Population, total",SP.POP.TOTL,1230075000
China,CHN,1996,"Population, total",SP.POP.TOTL,1217550000
China,CHN,1995,"Population, total",SP.POP.TOTL,1204855000
China,CHN,1994,"Population, total",SP.POP.TOTL,1191835000
China,CHN,1993,"Population, total",SP.POP.TOTL,1178440000
China,CHN,1992,"Population, total",SP.POP.TOTL,1164970000
China,CHN,1991,"Population, total",SP.POP.TOTL,1150780000
China,CHN,1990,"Population, total",SP.POP.TOTL,1135185000
China,CHN,1989,"Population, total",SP.POP.TOTL,1118650000
China,CHN,1988,"Population, total",SP.POP.TOTL,1101630000
China,CHN,1987,"Population, total",SP.POP.TOTL,1084035000
China,CHN,1986,"Population, total",SP.POP.TOTL,1066790000
China,CHN,1985,"Population, total",SP.POP.TOTL,1051040000
China,CHN,1984,"Population, total",SP.POP.TOTL,1036825000
China,CHN,1983,"Population, total",SP.POP.TOTL,1023310000
China,CHN,1982,"Population, total",SP.POP.TOTL,1008630000
China,CHN,1981,"Population, total",SP.POP.TOTL,993885000
China,CHN,1980,"Population, total",SP.POP.TOTL,981235000
China,CHN,1979,"Population, total",SP.POP.TOTL,969005000
China,CHN,1978,"Population, total",SP.POP.TOTL,956165000
China,CHN,1977,"Population, total",SP.POP.TOTL,943455000
China,CHN,1976,"Population, total",SP.POP.TOTL,930685000
China,CHN,1975,"Population, total",SP.POP.TOTL,916395000
China,CHN,1974,"Population, total",SP.POP.TOTL,900350000
China,CHN,1973,"Population, total",SP.POP.TOTL,881940000
China,CHN,1972,"Population, total",SP.POP.TOTL,862030000
China,CHN,1971,"Population, total",SP.POP.TOTL,841105000
China,CHN,1970,"Population, total",SP.POP.TOTL,818315000
China,CHN,1969,"Population, total",SP.POP.TOTL,796025000
China,CHN,1968,"Population, total",SP.POP.TOTL,774510000
China,CHN,1967,"Population, total",SP.POP.TOTL,754550000
China,CHN,1966,"Population, total",SP.POP.TOTL,735400000
China,CHN,1965,"Population, total",SP.POP.TOTL,715185000
China,CHN,1964,"Population, total",SP.POP.TOTL,698355000
China,CHN,1963,"Population, total",SP.POP.TOTL,682335000
China,CHN,1962,"Population, total",SP.POP.TOTL,665770000
China,CHN,1961,"Population, total",SP.POP.TOTL,660330000
China,CHN,1960,"Population, total",SP.POP.TOTL,667070000
China,CHN,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.8453642785515
China,CHN,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.0251925824739
China,CHN,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,13.3210024711134
China,CHN,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.7507966033042
China,CHN,2013,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.3019516098721
China,CHN,2012,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.9513827146195
China,CHN,2011,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.6572115617414
China,CHN,2010,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.3899374632162
China,CHN,2009,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.1693245375462
China,CHN,2008,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.9963777497071
China,CHN,2007,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.8588309526448
China,CHN,2006,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.7405931551486
China,CHN,2005,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.626170215907
China,CHN,2004,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.5353044125715
China,CHN,2003,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.4469133615811
China,CHN,2002,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.3505775121341
China,CHN,2001,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.2349839589224
China,CHN,2000,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.0907502732957
China,CHN,1999,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.96637082263544
China,CHN,1998,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.81315642253771
China,CHN,1997,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.63820532273421
China,CHN,1996,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.45603884545803
China,CHN,1995,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.27546510143202
China,CHN,1994,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.12328504728713
China,CHN,1993,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.98100653924899
China,CHN,1992,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.84956668942623
China,CHN,1991,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.72912669720312
China,CHN,1990,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.61765418074466
China,CHN,1989,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.54039134848308
China,CHN,1988,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.48641871300857
China,CHN,1987,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.44562926832734
China,CHN,1986,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.40066000271092
China,CHN,1985,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.33649637196975
China,CHN,1984,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.28164639995016
China,CHN,1983,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.2096334236298
China,CHN,1982,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.11898223414852
China,CHN,1981,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.01293427179619
China,CHN,1980,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.89275437022467
China,CHN,1979,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.80002506417374
China,CHN,1978,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.69868977484865
China,CHN,1977,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.58627825758321
China,CHN,1976,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.46061244194274
China,CHN,1975,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.32005938637546
China,CHN,1974,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.22037306373477
China,CHN,1973,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.11138910050758
China,CHN,1972,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.99366542619604
China,CHN,1971,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.86736260250524
China,CHN,1970,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.73016983112517
China,CHN,1969,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.65504863911845
China,CHN,1968,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.56815676627398
China,CHN,1967,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.46275811602452
China,CHN,1966,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.33380137385928
China,CHN,1965,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.1800877854755
China,CHN,1964,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.34415476849661
China,CHN,1963,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.47198422942522
China,CHN,1962,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.55461439523398
China,CHN,1961,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.57772785716846
China,CHN,1960,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.52921314366763
China,CHN,2017,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.6600571723333
China,CHN,2016,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.5239534692341
China,CHN,2015,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.347489679371
China,CHN,2014,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.2176968301314
China,CHN,2013,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.0833000621027
China,CHN,2012,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,23.9925280956352
China,CHN,2011,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.0169717882447
China,CHN,2010,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.2004679409412
China,CHN,2009,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.5035779292256
China,CHN,2008,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,24.9524787595941
China,CHN,2007,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,25.5828872279913
China,CHN,2006,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,26.4310129719242
China,CHN,2005,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,27.4696913760339
China,CHN,2004,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,28.9298693749862
China,CHN,2003,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,30.7453091185413
China,CHN,2002,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.7406242222475
China,CHN,2001,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,34.5559389219577
China,CHN,2000,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,35.974455672288
China,CHN,1999,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,37.4618773229392
China,CHN,1998,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,38.4413186276965
China,CHN,1997,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.0809834212396
China,CHN,1996,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.8936907391653
China,CHN,1995,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,41.2735382971028
China,CHN,1994,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,41.8066876003523
China,CHN,1993,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,42.530191859727
China,CHN,1992,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,43.3318253576079
China,CHN,1991,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,43.866137342137
China,CHN,1990,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,43.8518986662304
China,CHN,1989,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,44.4893091712507
