Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
Italy,ITA,2017,"Population, total",SP.POP.TOTL,60551416
Italy,ITA,2016,"Population, total",SP.POP.TOTL,60627498
Italy,ITA,2015,"Population, total",SP.POP.TOTL,60730582
Italy,ITA,2014,"Population, total",SP.POP.TOTL,60789140
Italy,ITA,2013,"Population, total",SP.POP.TOTL,60233948
Italy,ITA,2012,"Population, total",SP.POP.TOTL,59539717
Italy,ITA,2011,"Population, total",SP.POP.TOTL,59379449
Italy,ITA,2010,"Population, total",SP.POP.TOTL,59277417
Italy,ITA,2009,"Population, total",SP.POP.TOTL,59095365
Italy,ITA,2008,"Population, total",SP.POP.TOTL,58826731
Italy,ITA,2007,"Population, total",SP.POP.TOTL,58438310
Italy,ITA,2006,"Population, total",SP.POP.TOTL,58143979
Italy,ITA,2005,"Population, total",SP.POP.TOTL,57969484
Italy,ITA,2004,"Population, total",SP.POP.TOTL,57685327
Italy,ITA,2003,"Population, total",SP.POP.TOTL,57313203
Italy,ITA,2002,"Population, total",SP.POP.TOTL,57059007
Italy,ITA,2001,"Population, total",SP.POP.TOTL,56974100
Italy,ITA,2000,"Population, total",SP.POP.TOTL,56942108
Italy,ITA,1999,"Population, total",SP.POP.TOTL,56916317
Italy,ITA,1998,"Population, total",SP.POP.TOTL,56906744
Italy,ITA,1997,"Population, total",SP.POP.TOTL,56890372
Italy,ITA,1996,"Population, total",SP.POP.TOTL,56860281
Italy,ITA,1995,"Population, total",SP.POP.TOTL,56844303
Italy,ITA,1994,"Population, total",SP.POP.TOTL,56843400
Italy,ITA,1993,"Population, total",SP.POP.TOTL,56831821
Italy,ITA,1992,"Population, total",SP.POP.TOTL,56797087
Italy,ITA,1991,"Population, total",SP.POP.TOTL,56758521
Italy,ITA,1990,"Population, total",SP.POP.TOTL,56719240
Italy,ITA,1989,"Population, total",SP.POP.TOTL,56671781
Italy,ITA,1988,"Population, total",SP.POP.TOTL,56629288
Italy,ITA,1987,"Population, total",SP.POP.TOTL,56601931
Italy,ITA,1986,"Population, total",SP.POP.TOTL,56596155
Italy,ITA,1985,"Population, total",SP.POP.TOTL,56593071
Italy,ITA,1984,"Population, total",SP.POP.TOTL,56576718
Italy,ITA,1983,"Population, total",SP.POP.TOTL,56564074
Italy,ITA,1982,"Population, total",SP.POP.TOTL,56543548
Italy,ITA,1981,"Population, total",SP.POP.TOTL,56501675
Italy,ITA,1980,"Population, total",SP.POP.TOTL,56433883
Italy,ITA,1979,"Population, total",SP.POP.TOTL,56317749
Italy,ITA,1978,"Population, total",SP.POP.TOTL,56155143
Italy,ITA,1977,"Population, total",SP.POP.TOTL,55955411
Italy,ITA,1976,"Population, total",SP.POP.TOTL,55718260
Italy,ITA,1975,"Population, total",SP.POP.TOTL,55441001
Italy,ITA,1974,"Population, total",SP.POP.TOTL,55110868
Italy,ITA,1973,"Population, total",SP.POP.TOTL,54751406
Italy,ITA,1972,"Population, total",SP.POP.TOTL,54381345
Italy,ITA,1971,"Population, total",SP.POP.TOTL,54073490
Italy,ITA,1970,"Population, total",SP.POP.TOTL,53821850
Italy,ITA,1969,"Population, total",SP.POP.TOTL,53537950
Italy,ITA,1968,"Population, total",SP.POP.TOTL,53235750
Italy,ITA,1967,"Population, total",SP.POP.TOTL,52900500
Italy,ITA,1966,"Population, total",SP.POP.TOTL,52519000
Italy,ITA,1965,"Population, total",SP.POP.TOTL,52112350
Italy,ITA,1964,"Population, total",SP.POP.TOTL,51675350
Italy,ITA,1963,"Population, total",SP.POP.TOTL,51252000
Italy,ITA,1962,"Population, total",SP.POP.TOTL,50879450
Italy,ITA,1961,"Population, total",SP.POP.TOTL,50536350
Italy,ITA,1960,"Population, total",SP.POP.TOTL,50199700
Italy,ITA,2017,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,36.2760747911724
Italy,ITA,2016,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,35.6602196383413
Italy,ITA,2015,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,34.9909640204849
Italy,ITA,2014,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,34.2373707979481
