Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+num
United States,USA,2018,"Population, total",SP.POP.TOTL,328123000
United States,USA,2017,"Population, total",SP.POP.TOTL,325719178
United States,USA,2016,"Population, total",SP.POP.TOTL,323405935
United States,USA,2015,"Population, total",SP.POP.TOTL,321039839
United States,USA,2014,"Population, total",SP.POP.TOTL,318622525
United States,USA,2013,"Population, total",SP.POP.TOTL,316234505
United States,USA,2012,"Population, total",SP.POP.TOTL,313993272
United States,USA,2011,"Population, total",SP.POP.TOTL,311644280
United States,USA,2010,"Population, total",SP.POP.TOTL,309338421
United States,USA,2009,"Population, total",SP.POP.TOTL,306771529
United States,USA,2008,"Population, total",SP.POP.TOTL,304093966
United States,USA,2007,"Population, total",SP.POP.TOTL,301231207
United States,USA,2006,"Population, total",SP.POP.TOTL,298379912
United States,USA,2005,"Population, total",SP.POP.TOTL,295516599
United States,USA,2004,"Population, total",SP.POP.TOTL,292805298
United States,USA,2003,"Population, total",SP.POP.TOTL,290107933
United States,USA,2002,"Population, total",SP.POP.TOTL,287625193
United States,USA,2001,"Population, total",SP.POP.TOTL,284968955
United States,USA,2000,"Population, total",SP.POP.TOTL,282162411
United States,USA,1999,"Population, total",SP.POP.TOTL,279040000
United States,USA,1998,"Population, total",SP.POP.TOTL,275854000
United States,USA,1997,"Population, total",SP.POP.TOTL,272657000
United States,USA,1996,"Population, total",SP.POP.TOTL,269394000
United States,USA,1995,"Population, total",SP.POP.TOTL,266278000
United States,USA,1994,"Population, total",SP.POP.TOTL,263126000
United States,USA,1993,"Population, total",SP.POP.TOTL,259919000
United States,USA,1992,"Population, total",SP.POP.TOTL,256514000
United States,USA,1991,"Population, total",SP.POP.TOTL,252981000
United States,USA,1990,"Population, total",SP.POP.TOTL,249623000
United States,USA,1989,"Population, total",SP.POP.TOTL,246819000
United States,USA,1988,"Population, total",SP.POP.TOTL,244499000
United States,USA,1987,"Population, total",SP.POP.TOTL,242289000
United States,USA,1986,"Population, total",SP.POP.TOTL,240133000
United States,USA,1985,"Population, total",SP.POP.TOTL,237924000
United States,USA,1984,"Population, total",SP.POP.TOTL,235825000
United States,USA,1983,"Population, total",SP.POP.TOTL,233792000
United States,USA,1982,"Population, total",SP.POP.TOTL,231664000
United States,USA,1981,"Population, total",SP.POP.TOTL,229466000
United States,USA,1980,"Population, total",SP.POP.TOTL,227225000
